country	ccode	verified	year	month	day	source	mcgowan	csp	bs	banks	moreno	finer	janowitz	kennedy	ferguson	okane	thompson	luttwak	lunde	world_hand	combined	no_evidence	rebellion	no_overt	legal	no_exec	protest	autogolpe	assasination	invasion	unclear
"Cuba"	40		1952	-9	-9	"New York Times. Mar 11, 1952. p. 13"			2	2					2	2					1	0	0	0	0	0	0	0	0	0	0
"Cuba"	40		1952	3	-9	"New York Times. Mar 11, 1952. p. 13"							2	2							1	0	0	0	0	0	0	0	0	0	0
"Cuba"	40	2	1952	3	10	"New York Times. Mar 11, 1952. p. 13"			2	2			2	2	2	2	2			2	0	0	0	0	0	0	0	0	0	0	0
"Cuba"	40		1952	3	11	"New York Times. Mar 11, 1952. p. 13"														2	1	0	0	0	0	0	0	0	0	0	0
"Cuba"	40		1952	4	9	"none"												2			0	1	0	0	0	0	0	0	0	0	0
"Cuba"	40		1953	7	27	"New York Times. July 27, 1953. pg. 1"														1	0	0	1	0	0	0	0	0	0	0	0
"Cuba"	40		1956	4	29	"New York Times. Apr 30, 1956"											1			1	0	0	1	0	0	0	0	0	0	0	0
"Cuba"	40		1956	4	30	"New York Times. Apr 30, 1956"														1	1	0	0	0	0	0	0	0	0	0	0
"Cuba"	40		1956	12	1	"New York Times. Dec 1, 1956"														1	0	0	1	0	0	0	0	0	0	0	0
"Cuba"	40		1956	12	10	"New York Times. Dec 10, 1956"														1	0	0	1	0	0	0	0	0	0	0	0
"Cuba"	40		1956	12	27	"New York Times. Dec 28, 1956"														1	0	0	1	0	0	0	0	0	0	0	0
"Cuba"	40	1	1957	9	5	"New York Times. Sep 6, 1957"											1				0	0	0	0	0	0	0	0	0	0	0
"Cuba"	40		1959	-9	-9	"New York Times. Jan 2, 1959"				2				2							0	0	1	0	0	0	0	0	0	0	0
"Cuba"	40		1959	1	3	"New York Times. Jan 3, 1959"														2	0	0	1	0	0	0	0	0	0	0	0
"Cuba"	40		1959	8	10	"New York Times, various"														1	0	0	0	1	0	0	0	0	0	0	0
"Cuba"	40		1959	8	14	"New York Times. Aug 14, 1959"														1	0	0	1	0	0	0	0	0	0	0	0
"Cuba"	40		1961	4	20	"New York Times. Apr 20, 1961"														1	0	0	1	0	0	0	0	0	0	0	0
"Cuba"	40		1981	7	11	"New York Times. July 12, 1981"														1	0	0	0	0	0	0	0	0	1	0	0
"Haiti"	41		1950	-9	-9	"New York Times. May 11, 1950. p. 12"			2	2					2	2					1	0	0	0	0	0	0	0	0	0	0
"Haiti"	41		1950	5	-9	"New York Times. May 11, 1950. p. 12"							2								1	0	0	0	0	0	0	0	0	0	0
"Haiti"	41	2	1950	5	10	"New York Times. May 11, 1950. p. 12"			2	2	2		2		2	2	2			2	0	0	0	0	0	0	0	0	0	0	0
"Haiti"	41		1950	5	11	"New York Times. May 11, 1950. p. 12"														2	1	0	0	0	0	0	0	0	0	0	0
"Haiti"	41		1950	10	3	"http://countrystudies.us/haiti/16.htm"												2			0	0	0	0	1	0	0	0	0	0	0
"Haiti"	41		1956	-9	-9	"New York Times. Dec 13, 1956"			2	2											1	0	0	0	0	0	0	0	0	0	0
"Haiti"	41		1956	12	-9	"New York Times. Dec 13, 1956"							2								1	0	0	0	0	0	0	0	0	0	0
"Haiti"	41		1956	12	7	"New York Times. Dec 7, 1956"														2	0	0	0	0	0	0	0	1	0	0	0
