"","id","ccode","idacr","year","leader","age","group","tstart","tstop","status","GDP_growth_trend","GDP_pc_log","pop_log","polity5","polstab"
"1",1,40,"CUB",1954,"Batista",53,"A",0,365,0,0.747739777705548,7.76710987819241,6.49979606317154,-9,0
"2",1,40,"CUB",1955,"Batista",53,"A",365,730,0,1.2487075891597,7.79735988253318,6.52297770064609,-9,0
"3",1,40,"CUB",1956,"Batista",53,"A",730,1095,0,2.04926539336258,7.8422112198832,6.54288974065968,-9,0
"4",1,40,"CUB",1957,"Batista",53,"A",1095,1460,0,1.41829990452334,7.88879650952504,6.56186341665886,-9,2
"5",1,40,"CUB",1958,"Batista",53,"A",1460,1758,1,1.08140834939835,7.93261840291232,6.5823062628087,-9,2
"6",3,41,"HAI",1950,"Magloire",43,"B",0,365,0,0.978687402900876,6.60720138561126,5.80026469462577,-5,0
"7",3,41,"HAI",1951,"Magloire",43,"B",365,730,0,2.17387485499737,6.62221757240024,5.81655147956182,-5,0
"8",3,41,"HAI",1952,"Magloire",43,"B",730,1095,0,2.84311983635398,6.64697865354856,5.83275892593474,-5,0
"9",3,41,"HAI",1953,"Magloire",43,"B",1095,1460,0,0.402960374400563,6.65332614790385,5.85066106251599,-5,0
"10",3,41,"HAI",1954,"Magloire",43,"B",1460,1825,0,1.3789236474107,6.67450457201839,5.86782973566017,-5,0
"11",3,41,"HAI",1955,"Magloire",43,"B",1825,2190,0,0.460445512556177,6.68258216950739,5.88564281399462,-5,0
"12",3,41,"HAI",1956,"Magloire",43,"B",2190,2408,1,1.14376012961911,6.69616967650166,5.90010281192654,4,0
"13",4,41,"HAI",1961,"Duvalier, Francois",54,"A",0,365,0,1.02227128213318,6.56441672305165,5.97960702371878,-7,0
"14",4,41,"HAI",1962,"Duvalier, Francois",54,"A",365,730,0,-0.742146353248123,6.59426296963054,6.00679394913926,-7,0
"15",4,41,"HAI",1963,"Duvalier, Francois",54,"A",730,1095,0,0.294400120983554,6.58801271767867,6.02668447933798,-7,0
"16",4,41,"HAI",1964,"Duvalier, Francois",54,"A",1095,1460,0,2.25874211014541,6.58286688978428,6.05067876300472,-7,0
"17",4,41,"HAI",1965,"Duvalier, Francois",54,"A",1460,1825,0,-0.115562157541461,6.58213732096583,6.06792314722694,-7,0
"18",4,41,"HAI",1966,"Duvalier, Francois",54,"A",1825,2190,0,-1.46772354376719,6.58803612255061,6.09197255838685,-7,0
"19",4,41,"HAI",1967,"Duvalier, Francois",54,"A",2190,2555,0,-300.793365238117,6.58257484927023,6.11227854032379,-7,0
